prompt_id,source,current_label,bucket,notes,prompt_preview
tc-low-0060,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a C function prototype for strcmp.
tc-low-0061,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use Promise.all in JavaScript?
tc-low-0062,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Ruby hash with symbol keys.
tc-low-0063,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a GitHub Actions step that runs npm test.
tc-low-0064,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python assert statement with a custom message.
tc-low-0065,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use String.format in Java?
tc-low-0066,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL CASE WHEN expression.
tc-low-0067,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a basic Tailwind CSS button class string.
tc-low-0068,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Go error return pattern with fmt.Errorf.
tc-low-0069,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use the spread operator in TypeScript?
tc-low-0070,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python context manager using 'with' for file handling.
tc-low-0071,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a Rust vector and push three elements.
tc-low-0072,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a bash loop that iterates over files in a directory.
tc-low-0073,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use reduce() in JavaScript?
tc-low-0074,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a C# LINQ query to filter a list.
tc-low-0075,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create an Ansible task that installs nginx.
tc-low-0076,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python slice to get the last 3 elements of a list.
tc-low-0077,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use template literals in JavaScript?
tc-low-0078,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL CREATE TABLE with a primary key and foreign key.
tc-low-0079,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a Swift guard let statement.
tc-low-0080,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python unittest test method.
tc-low-0081,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use the Elvis operator in Kotlin?
tc-low-0082,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a CSS grid with 3 columns of equal width.
tc-low-0083,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a basic nginx location block for /api proxy_pass.
tc-low-0084,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a JavaScript arrow function that filters an array.
tc-low-0085,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use string interpolation in C#?
tc-low-0086,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python namedtuple for a Point with x and y.
tc-low-0087,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a Docker volume mount in a compose file.
tc-low-0088,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Go map literal with string keys and int values.
tc-low-0089,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use Optional chaining in TypeScript?
tc-low-0090,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL UPDATE with a WHERE clause.
tc-low-0091,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a React useEffect that runs once on mount.
tc-low-0092,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a bash alias for a long command.
tc-low-0093,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I declare a protocol in Swift?
tc-low-0094,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python set operation for intersection of two sets.
tc-low-0095,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a Helm values.yaml with replica count and image tag.
tc-low-0096,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Java record class for a Coordinate.
tc-low-0097,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use Array.from in JavaScript?
tc-low-0098,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Rust impl block with a new() constructor.
tc-low-0099,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a basic tsconfig.json with strict mode enabled.
tc-low-0100,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to reverse a string
tc-low-0101,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a number is prime
tc-low-0102,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the factorial of a number
tc-low-0103,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the maximum element in an array
tc-low-0104,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to count vowels in a string
tc-low-0105,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that removes duplicates from an array
tc-low-0106,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if two strings are anagrams
tc-low-0107,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to calculate the sum of array elements
tc-low-0108,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that converts Celsius to Fahrenheit
tc-low-0109,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the second largest number in an array
tc-low-0110,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a string is a palindrome
tc-low-0111,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that sorts an array using bubble sort
tc-low-0112,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the index of an element in an array
tc-low-0113,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to merge two sorted arrays
tc-low-0114,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the average of array elements
tc-low-0115,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if a year is a leap year
tc-low-0116,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find common elements between two arrays
tc-low-0117,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that capitalizes the first letter of each word
tc-low-0118,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to count occurrences of a character in a string
tc-low-0119,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to flatten a nested array
tc-low-0120,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that generates a random password
tc-low-0121,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert a string to title case
tc-low-0122,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find all factors of a number
tc-low-0123,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that checks if a number is a perfect square
tc-low-0124,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert binary to decimal
tc-low-0125,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the intersection of two arrays
tc-low-0126,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that removes whitespace from a string
tc-low-0127,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if a number is even or odd
tc-low-0128,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to calculate compound interest
tc-low-0129,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that finds the missing number in a sequence
tc-low-0130,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert an array to an object
tc-low-0131,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the longest word in a sentence
tc-low-0132,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that validates an email address format
tc-low-0133,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to calculate the Fibonacci sequence up to n
tc-low-0134,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to remove falsy values from an array
tc-low-0135,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that converts Roman numerals to integers
tc-low-0136,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the most frequent element in an array
tc-low-0137,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a string contains only digits
tc-low-0138,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that generates a UUID
tc-low-0139,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to calculate the area of a circle
tc-low-0140,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the union of two arrays
tc-low-0141,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that converts minutes to hours and minutes
tc-low-0142,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if a string starts with a specific prefix
tc-low-0143,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to calculate the median of an array
tc-low-0144,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that validates a phone number format
tc-low-0145,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert an object to query string
tc-low-0146,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the first non-repeating character
tc-low-0147,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates compound annual growth rate
tc-low-0148,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if a number is within a range
tc-low-0149,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to sort an array of objects by property
tc-low-0150,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that generates a random hex color code
tc-low-0151,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to calculate the distance between two points
tc-low-0152,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a string ends with a specific suffix
tc-low-0153,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that validates a URL format
tc-low-0154,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the mode of an array
tc-low-0155,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to convert snake_case to camelCase
tc-low-0156,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the perimeter of a rectangle
tc-low-0157,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if all elements in an array are unique
tc-low-0158,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the GCD of two numbers
tc-low-0159,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that formats a number with commas
tc-low-0160,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert an array of strings to uppercase
tc-low-0161,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to calculate the LCM of two numbers
tc-low-0162,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that validates a date format (YYYY-MM-DD)
tc-low-0163,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the sum of digits in a number
tc-low-0164,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a string is a valid hex color
tc-low-0165,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that generates a multiplication table
tc-low-0166,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to calculate the volume of a sphere
tc-low-0167,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if an array is sorted
tc-low-0168,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that converts RGB to hex color
tc-low-0169,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the most common word in a paragraph
tc-low-0170,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to calculate simple interest
tc-low-0171,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that validates a credit card number format
tc-low-0172,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert minutes to seconds
tc-low-0173,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the index of the first vowel in a string
tc-low-0174,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the tip amount
tc-low-0175,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if a string contains only letters
tc-low-0176,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the longest common prefix
tc-low-0177,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the area of a triangle
tc-low-0178,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert Fahrenheit to Celsius
tc-low-0179,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a number is a power of two
tc-low-0180,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that removes HTML tags from a string
tc-low-0181,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to calculate the standard deviation
tc-low-0182,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find all subsets of a set
tc-low-0183,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that validates an IP address
tc-low-0184,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert degrees to radians
tc-low-0185,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a string is a valid password
tc-low-0186,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the nth Fibonacci number
tc-low-0187,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to find the smallest missing positive integer
tc-low-0188,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to check if a string is a valid username
tc-low-0189,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the discount percentage
tc-low-0190,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to convert a string to PascalCase
tc-low-0191,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the sum of even numbers in an array
tc-low-0192,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that validates a ZIP code format
tc-low-0193,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to calculate the total price with tax
tc-low-0194,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to find the longest increasing subsequence
tc-low-0195,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that generates a random quote
tc-low-0196,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a function to check if a number is a perfect cube
tc-low-0197,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Implement a function to convert an array to a set
tc-low-0198,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a function that calculates the area of a parallelogram
